Timestamp,VehicleCount
2024-12-31 09:11:49,1
2024-12-31 09:14:02,2
2024-12-31 09:17:03,3
2024-12-31 09:18:42,4
2024-12-31 09:20:58,5
2024-12-31 09:24:01,6
2024-12-31 09:24:02,7
2024-12-31 09:24:02,8
2024-12-31 09:26:11,9
2024-12-31 09:30:03,10
2024-12-31 09:30:04,11
2024-12-31 09:35:03,12
2024-12-31 09:35:20,13
2024-12-31 09:35:21,14
2024-12-31 09:35:21,15
2024-12-31 09:36:00,16
2024-12-31 09:36:01,17
2024-12-31 09:36:33,18
2024-12-31 09:36:40,19
2024-12-31 09:36:41,20
2024-12-31 09:39:06,21
2024-12-31 09:39:49,22
2024-12-31 09:40:56,23
2024-12-31 09:43:58,24
2024-12-31 09:44:28,25
2024-12-31 09:44:29,26
2024-12-31 09:46:49,27
2024-12-31 09:47:57,28
2024-12-31 09:47:57,29
2024-12-31 09:49:27,30
2024-12-31 09:49:56,31
2024-12-31 09:49:57,32
2024-12-31 09:50:49,33
2024-12-31 09:50:50,34
2024-12-31 09:50:52,35
2024-12-31 09:50:53,36
2024-12-31 09:53:28,37
2024-12-31 09:54:04,38
2024-12-31 09:55:58,39
2024-12-31 09:56:13,40
2024-12-31 09:56:15,41
2024-12-31 09:56:35,42
2024-12-31 09:56:36,43
2024-12-31 10:00:42,44
2024-12-31 10:00:43,45
2024-12-31 10:02:26,46
2024-12-31 10:05:07,47
2024-12-31 10:07:08,48
2024-12-31 10:07:51,49
2024-12-31 10:07:55,50
2024-12-31 10:07:56,51
2024-12-31 10:07:57,52
2024-12-31 10:08:44,53
2024-12-31 10:16:02,54
2024-12-31 10:16:02,55
2024-12-31 10:16:36,56
2024-12-31 10:16:47,57
2024-12-31 10:18:54,58
2024-12-31 10:20:22,59
2024-12-31 10:20:22,60
